Time t / s,Events N,Channel n,Energy E / keV
,23,126,24.5871860465116
,28,127,24.7928604651163
,19,128,24.9985348837209
,24,129,25.2042093023256
,19,130,25.4098837209302
,22,131,25.6155581395349
,22,132,25.8212325581395
,23,133,26.0269069767442
,26,134,26.2325813953488
,26,135,26.4382558139535
,22,136,26.6439302325581
,25,137,26.8496046511628
,22,138,27.0552790697674
,22,139,27.2609534883721
,25,140,27.4666279069767
,20,141,27.6723023255814
,31,142,27.877976744186
,31,143,28.0836511627907
,26,144,28.2893255813953
,20,145,28.495
,29,146,28.7006744186046
,32,147,28.9063488372093
,40,148,29.1120232558139
,39,149,29.3176976744186
,27,150,29.5233720930232
,26,151,29.7290465116279
,39,152,29.9347209302326
,35,153,30.1403953488372
,26,154,30.3460697674419
,29,155,30.5517441860465
,30,156,30.7574186046512
,35,157,30.9630930232558
,38,158,31.1687674418605
,32,159,31.3744418604651
,37,160,31.5801162790698
,59,161,31.7857906976744
,28,162,31.9914651162791
,48,163,32.1971395348837
,57,164,32.4028139534884
,62,165,32.608488372093
,69,166,32.8141627906977
,100,167,33.0198372093023
,147,168,33.225511627907
,181,169,33.4311860465116
,224,170,33.6368604651163
,304,171,33.8425348837209
,398,172,34.0482093023256
,489,173,34.2538837209302
,624,174,34.4595581395349
,720,175,34.6652325581395
,829,176,34.8709069767442
,841,177,35.0765813953488
,931,178,35.2822558139535
,940,179,35.4879302325581
,833,180,35.6936046511628
,736,181,35.8992790697674
,722,182,36.1049534883721
,621,183,36.3106279069767
,603,184,36.5163023255814
,593,185,36.721976744186
,586,186,36.9276511627907
,603,187,37.1333255813953
,635,188,37.339
,648,189,37.5446744186046
,676,190,37.7503488372093
,718,191,37.9560232558139
,728,192,38.1616976744186
,631,193,38.3673720930232
,570,194,38.5730465116279
,506,195,38.7787209302325
,425,196,38.9843953488372
,319,197,39.1900697674418
,284,198,39.3957441860465
,211,199,39.6014186046511
,179,200,39.8070930232558
,142,201,40.0127674418604
,100,202,40.2184418604651
,81,203,40.4241162790698
,71,204,40.6297906976744
,50,205,40.8354651162791
,54,206,41.0411395348837
,48,207,41.2468139534884
,50,208,41.452488372093
,53,209,41.6581627906977
,44,210,41.8638372093023
,47,211,42.069511627907
,37,212,42.2751860465116
,32,213,42.4808604651163
,39,214,42.6865348837209
,27,215,42.8922093023256
,24,216,43.0978837209302
,11,217,43.3035581395349
,15,218,43.5092325581395
,13,219,43.7149069767442
,11,220,43.9205813953488
,9,221,44.1262558139535
,11,222,44.3319302325581
,11,223,44.5376046511628
,4,224,44.7432790697674
,7,225,44.9489534883721
,7,226,45.1546279069767
,8,227,45.3603023255814
,7,228,45.565976744186
,9,229,45.7716511627907
,10,230,45.9773255813953
,8,231,46.183
,7,232,46.3886744186046
,10,233,46.5943488372093
,8,234,46.8000232558139
,10,235,47.0056976744186
,3,236,47.2113720930232
,7,237,47.4170465116279
,6,238,47.6227209302325
,10,239,47.8283953488372
,12,240,48.0340697674418
,4,241,48.2397441860465
,6,242,48.4454186046511
,11,243,48.6510930232558
,7,244,48.8567674418604
,6,245,49.0624418604651
,5,246,49.2681162790697
,3,247,49.4737906976744
,8,248,49.679465116279
,8,249,49.8851395348837
,12,250,50.0908139534884
,7,251,50.296488372093
,7,252,50.5021627906977
,7,253,50.7078372093023
,9,254,50.913511627907
,5,255,51.1191860465116
,8,256,51.3248604651163
,11,257,51.5305348837209
,7,258,51.7362093023256
,7,259,51.9418837209302
,9,260,52.1475581395349
,5,261,52.3532325581395
,13,262,52.5589069767442
,11,263,52.7645813953488
,12,264,52.9702558139535
,12,265,53.1759302325581
,7,266,53.3816046511628
,13,267,53.5872790697674
,12,268,53.7929534883721
,13,269,53.9986279069767
,14,270,54.2043023255814
,19,271,54.409976744186
,13,272,54.6156511627907
,14,273,54.8213255813953
,13,274,55.027
,21,275,55.2326744186046
,17,276,55.4383488372093
,15,277,55.6440232558139
,17,278,55.8496976744186
,16,279,56.0553720930232
,20,280,56.2610465116279
,20,281,56.4667209302325
,8,282,56.6723953488372
,20,283,56.8780697674418
,7,284,57.0837441860465
,11,285,57.2894186046511
,13,286,57.4950930232558
,15,287,57.7007674418604
,12,288,57.9064418604651
,9,289,58.1121162790697
,8,290,58.3177906976744
,4,291,58.523465116279
,11,292,58.7291395348837
,13,293,58.9348139534883
,12,294,59.140488372093
,3,295,59.3461627906976
,10,296,59.5518372093023
,12,297,59.757511627907
,6,298,59.9631860465116
,10,299,60.1688604651163
,4,300,60.3745348837209
,1,301,60.5802093023256
,2,302,60.7858837209302
,3,303,60.9915581395349
,3,304,61.1972325581395
,6,305,61.4029069767442
,4,306,61.6085813953488
,4,307,61.8142558139535
,2,308,62.0199302325581
,3,309,62.2256046511628
,4,310,62.4312790697674
,4,311,62.6369534883721
,4,312,62.8426279069767
,1,313,63.0483023255814
,5,314,63.253976744186
,1,315,63.4596511627907
,3,316,63.6653255813953
,4,317,63.871
,5,318,64.0766744186046
,5,319,64.2823488372093
,4,320,64.4880232558139
,3,321,64.6936976744186
,5,322,64.8993720930232
,3,323,65.1050465116279
,2,324,65.3107209302325
,7,325,65.5163953488372
,1,326,65.7220697674418
,3,327,65.9277441860465
,4,328,66.1334186046511
,1,329,66.3390930232558
,5,330,66.5447674418604
,6,331,66.7504418604651
,5,332,66.9561162790697
,3,333,67.1617906976744
,8,334,67.367465116279
,5,335,67.5731395348837
,3,336,67.7788139534883
,2,337,67.984488372093
,4,338,68.1901627906976
,5,339,68.3958372093023
,7,340,68.6015116279069
,4,341,68.8071860465116
,1,342,69.0128604651162
,3,343,69.2185348837209
,3,344,69.4242093023256
,4,345,69.6298837209302
,4,346,69.8355581395349
,3,347,70.0412325581395
,5,348,70.2469069767441
,6,349,70.4525813953488
,3,350,70.6582558139534
,4,351,70.8639302325581
,1,352,71.0696046511628
,2,353,71.2752790697674
,3,354,71.4809534883721
,1,355,71.6866279069767
,3,356,71.8923023255814
,5,357,72.097976744186
,3,358,72.3036511627907
,3,359,72.5093255813953
,2,360,72.715
,2,361,72.9206744186046
,2,362,73.1263488372093
,5,363,73.3320232558139
,2,364,73.5376976744186
,2,365,73.7433720930232
,1,366,73.9490465116279
,1,367,74.1547209302325
,5,368,74.3603953488372
,2,369,74.5660697674418
,5,370,74.7717441860465
,1,371,74.9774186046511
,0,372,75.1830930232558
,0,373,75.3887674418604
,2,374,75.5944418604651
,3,375,75.8001162790697
,1,376,76.0057906976744
,0,377,76.211465116279
,2,378,76.4171395348837
,0,379,76.6228139534883
,1,380,76.828488372093
,0,381,77.0341627906976
,0,382,77.2398372093023
,0,383,77.4455116279069
,0,384,77.6511860465116
,1,385,77.8568604651162
,0,386,78.0625348837209
,1,387,78.2682093023255
,0,388,78.4738837209302
,0,389,78.6795581395348
,2,390,78.8852325581395
,0,391,79.0909069767442
,0,392,79.2965813953488
,2,393,79.5022558139535
,0,394,79.7079302325581
,4,395,79.9136046511628
,2,396,80.1192790697674
