Time t / s,Events N,Channel n,Energy E / keV
0,0,0,-1.3277906976744
1,0,1,-1.12211627906975
2.001,0,2,-0.916441860465103
3.001,0,3,-0.710767441860451
4,0,4,-0.5050930232558
5.001,0,5,-0.299418604651152
6,0,6,-0.0937441860464965
7.001,0,7,0.111930232558151
8,1,8,0.317604651162803
9,0,9,0.523279069767455
10.001,0,10,0.728953488372106
11.001,0,11,0.934627906976758
12.001,0,12,1.14030232558141
13.001,0,13,1.34597674418606
14,0,14,1.55165116279071
15.001,0,15,1.75732558139536
16,0,16,1.96300000000001
17,0,17,2.16867441860466
18.001,0,18,2.37434883720931
19,0,19,2.58002325581396
20,0,20,2.78569767441862
21,0,21,2.99137209302327
22.001,0,22,3.19704651162792
23,0,23,3.40272093023257
24,0,24,3.60839534883722
25.001,0,25,3.81406976744187
26.001,0,26,4.01974418604652
27,0,27,4.22541860465117
28,0,28,4.43109302325582
29.001,0,29,4.63676744186047
,0,30,4.84244186046513
,0,31,5.04811627906978
,0,32,5.25379069767443
,0,33,5.45946511627908
,0,34,5.66513953488373
,0,35,5.87081395348838
,0,36,6.07648837209303
,0,37,6.28216279069768
,0,38,6.48783720930233
,0,39,6.69351162790698
,1,40,6.89918604651164
,0,41,7.10486046511629
,1,42,7.31053488372094
,1,43,7.51620930232559
,1,44,7.72188372093024
,1,45,7.92755813953489
,2,46,8.13323255813954
,6,47,8.33890697674419
,5,48,8.54458139534884
,2,49,8.7502558139535
,5,50,8.95593023255815
,5,51,9.1616046511628
,5,52,9.36727906976745
,10,53,9.5729534883721
,11,54,9.77862790697675
,12,55,9.9843023255814
,6,56,10.1899767441861
,12,57,10.3956511627907
,12,58,10.6013255813954
,11,59,10.807
,16,60,11.0126744186047
,13,61,11.2183488372093
,14,62,11.424023255814
,14,63,11.6296976744186
,16,64,11.8353720930233
,21,65,12.0410465116279
,18,66,12.2467209302326
,11,67,12.4523953488372
,12,68,12.6580697674419
,8,69,12.8637441860465
,17,70,13.0694186046512
,14,71,13.2750930232558
,16,72,13.4807674418605
,11,73,13.6864418604651
,14,74,13.8921162790698
,12,75,14.0977906976744
,13,76,14.3034651162791
,24,77,14.5091395348837
,12,78,14.7148139534884
,15,79,14.920488372093
,9,80,15.1261627906977
,16,81,15.3318372093023
,9,82,15.537511627907
,12,83,15.7431860465116
,16,84,15.9488604651163
,13,85,16.1545348837209
,12,86,16.3602093023256
,16,87,16.5658837209302
,16,88,16.7715581395349
,16,89,16.9772325581395
,16,90,17.1829069767442
,15,91,17.3885813953488
,14,92,17.5942558139535
,27,93,17.7999302325581
,22,94,18.0056046511628
,19,95,18.2112790697674
,15,96,18.4169534883721
,16,97,18.6226279069767
,14,98,18.8283023255814
,16,99,19.033976744186
,22,100,19.2396511627907
,18,101,19.4453255813953
,24,102,19.651
,23,103,19.8566744186047
,19,104,20.0623488372093
,21,105,20.268023255814
,17,106,20.4736976744186
,11,107,20.6793720930233
,23,108,20.8850465116279
,26,109,21.0907209302326
,22,110,21.2963953488372
,11,111,21.5020697674419
,24,112,21.7077441860465
,30,113,21.9134186046512
,30,114,22.1190930232558
,21,115,22.3247674418605
,17,116,22.5304418604651
,19,117,22.7361162790698
,21,118,22.9417906976744
,16,119,23.1474651162791
,27,120,23.3531395348837
,18,121,23.5588139534884
,24,122,23.764488372093
,25,123,23.9701627906977
,41,124,24.1758372093023
,24,125,24.381511627907
,26,126,24.5871860465116
,30,127,24.7928604651163
,29,128,24.9985348837209
,34,129,25.2042093023256
,23,130,25.4098837209302
,16,131,25.6155581395349
,29,132,25.8212325581395
,14,133,26.0269069767442
,22,134,26.2325813953488
,22,135,26.4382558139535
,21,136,26.6439302325581
,31,137,26.8496046511628
,20,138,27.0552790697674
,23,139,27.2609534883721
,22,140,27.4666279069767
