Time t / s,Events N,Channel n,Energy E / keV
86,0,86,3.09420930232559
87,1,87,3.14562790697676
88,0,88,3.19704651162792
89,0,89,3.24846511627908
90.001,0,90,3.29988372093024
91,1,91,3.35130232558141
92,0,92,3.40272093023257
93,0,93,3.45413953488373
93.999,1,94,3.50555813953489
95,0,95,3.55697674418606
96,1,96,3.60839534883722
97.001,5,97,3.65981395348838
98.001,3,98,3.71123255813954
99.001,5,99,3.76265116279071
100.001,3,100,3.81406976744187
101.001,4,101,3.86548837209303
102.001,5,102,3.9169069767442
103,2,103,3.96832558139536
104.001,5,104,4.01974418604652
105.001,10,105,4.07116279069768
106.001,6,106,4.12258139534885
107,5,107,4.17400000000001
108.001,4,108,4.22541860465117
109.001,5,109,4.27683720930234
110,6,110,4.3282558139535
111,9,111,4.37967441860466
112,6,112,4.43109302325582
113,6,113,4.48251162790699
114.001,2,114,4.53393023255815
115,5,115,4.58534883720931
116,10,116,4.63676744186047
117.001,8,117,4.68818604651164
118.001,6,118,4.7396046511628
119,7,119,4.79102325581396
120.001,8,120,4.84244186046513
121,8,121,4.89386046511629
122,6,122,4.94527906976745
123,7,123,4.99669767441861
124,13,124,5.04811627906978
125.001,5,125,5.09953488372094
126,7,126,5.1509534883721
127,8,127,5.20237209302327
128,11,128,5.25379069767443
129,10,129,5.30520930232559
130,9,130,5.35662790697675
131,4,131,5.40804651162792
132,10,132,5.45946511627908
133,9,133,5.51088372093024
134,6,134,5.5623023255814
135.001,14,135,5.61372093023257
136,14,136,5.66513953488373
137,12,137,5.71655813953489
138,9,138,5.76797674418606
139,13,139,5.81939534883722
140.001,12,140,5.87081395348838
141.001,9,141,5.92223255813954
142,19,142,5.97365116279071
143,8,143,6.02506976744187
144.001,6,144,6.07648837209303
145,13,145,6.12790697674419
146,16,146,6.17932558139536
147.001,5,147,6.23074418604652
148,8,148,6.28216279069768
149.001,14,149,6.33358139534885
150,11,150,6.38500000000001
151,11,151,6.43641860465117
152.001,10,152,6.48783720930233
153,12,153,6.5392558139535
154.001,13,154,6.59067441860466
155,11,155,6.64209302325582
156,11,156,6.69351162790698
157,11,157,6.74493023255815
158.001,11,158,6.79634883720931
159,12,159,6.84776744186047
160.001,15,160,6.89918604651164
161,11,161,6.9506046511628
162,10,162,7.00202325581396
163,16,163,7.05344186046512
164,16,164,7.10486046511629
165.001,24,165,7.15627906976745
166,11,166,7.20769767441861
167,12,167,7.25911627906978
168,21,168,7.31053488372094
169,14,169,7.3619534883721
170.001,13,170,7.41337209302326
171,19,171,7.46479069767443
172,12,172,7.51620930232559
173,9,173,7.56762790697675
174,18,174,7.61904651162792
175,11,175,7.67046511627908
176.001,13,176,7.72188372093024
177,15,177,7.7733023255814
178,10,178,7.82472093023257
179.001,21,179,7.87613953488373
180,16,180,7.92755813953489
,21,181,7.97897674418605
,22,182,8.03039534883722
,26,183,8.08181395348838
,16,184,8.13323255813954
,16,185,8.18465116279071
,11,186,8.23606976744187
,18,187,8.28748837209303
,18,188,8.33890697674419
,29,189,8.39032558139536
,13,190,8.44174418604652
,16,191,8.49316279069768
,18,192,8.54458139534884
,24,193,8.59600000000001
,22,194,8.64741860465117
,15,195,8.69883720930233
,19,196,8.7502558139535
,15,197,8.80167441860466
,27,198,8.85309302325582
,16,199,8.90451162790698
,24,200,8.95593023255815
,31,201,9.00734883720931
,27,202,9.05876744186047
,22,203,9.11018604651163
,29,204,9.1616046511628
,24,205,9.21302325581396
,22,206,9.26444186046512
,24,207,9.31586046511629
,36,208,9.36727906976745
,22,209,9.41869767441861
,45,210,9.47011627906977
,38,211,9.52153488372094
,36,212,9.5729534883721
,38,213,9.62437209302326
,30,214,9.67579069767443
,53,215,9.72720930232559
,61,216,9.77862790697675
,84,217,9.83004651162791
,113,218,9.88146511627908
,121,219,9.93288372093024
,162,220,9.9843023255814
,183,221,10.0357209302326
,229,222,10.0871395348837
,275,223,10.1385581395349
,382,224,10.1899767441861
,422,225,10.2413953488372
,501,226,10.2928139534884
,581,227,10.3442325581395
,592,228,10.3956511627907
,702,229,10.4470697674419
,731,230,10.498488372093
,748,231,10.5499069767442
